Author,Comment,PublishedAt
@ayunifebryan6572,sii alshad lu kek gitu kalo udh gw jd kangen kebersamaan lg,2023-09-14T03:26:40Z
@lutfihry,kangen hehe,2023-09-13T15:52:12Z
@zuraacbby4282,ka tiara galau pakai lagu yah,2023-09-13T12:46:18Z
@ErnaWati-cf8be,rindu nonton video2 kebersamaan bikin kngn alshad ama titi,2023-09-13T02:13:49Z
@izzatfirdausi,ku kukira lagu raisa,2023-09-12T15:32:41Z
@Bungaa2100,54517,2023-09-12T12:49:45Z
@AndiSaputra-tb7yv,329,2023-09-12T12:42:34Z
@riqikz2,dendelions versi indonesia,2023-09-12T01:01:19Z
@sifasyaniar,sumpah penasaran banget hubungan skrg kek gmna 5bln kasusnya terbongkar,2023-09-11T23:11:09Z
@rio-ramadhani3205,p galau,2023-09-11T14:33:40Z
@UmbiAnksh,hujan turun mewakili hati terpa angin gambarkan resahku pelangi menyinari huooooooooo merindukanmu hadirmu percayalah kasih jarak menghapus janji setia menjaga hati,2023-09-10T20:57:43Z
@davidlasaba7147,diakun fanbaseidol lagu capai 100 juta spotfy 21 lagu setahun rilis ya april 2022 rilis lagunya 16,2023-09-10T08:16:53Z
@user-hr3bc8hd1f,inget banget streaming janji setia mobil pas pulang kampung lebaran idul fitri kangen vibes nyaaa pengen diulang,2023-09-10T08:00:19Z
@riyugaming5356,yeay 100 juta streams on spotify janset tersendiri,2023-09-10T01:27:16Z
@sunariyati4638,congrats janset 100 juta streams on spotify,2023-09-10T00:19:49Z
@Diseruduk_Badak,congratulations janset 100jt stream in spotipi lagu album trmbus 100jt stream next menyusul matm,2023-09-09T22:50:35Z
@Anonymous-vr8mc,happy 100juta janset,2023-09-09T18:40:55Z
@user-wy6vo7mq8w,happy 100 juta janset,2023-09-09T18:22:05Z
@erchanel5347,taukah dirimu betapa diriku merindukan dirimu disinijarak takan mnghapusandai q bs genggam tanganmu,2023-09-09T16:55:20Z
@capricornbintangku4444,100 juta spotipai,2023-09-09T09:29:31Z
@lieya8406,mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati,2023-09-08T12:30:07Z
@imamftr5137,apapun favoritku tunggu,2023-09-08T02:50:06Z
@abdulkodir7188,janji setia nabi muhammad umatnya jumpa jaman,2023-09-08T01:25:55Z
@bams1313,adem banget telinga,2023-09-07T20:39:18Z
@sigiwiarsyah8297,orang nya udah pergi vidio nya,2023-09-06T21:18:58Z
@rizkyfidiansyah2768,gas 55 juta moo up lagu flip it up,2023-09-05T23:57:30Z
@vearlyanaayu2917,54jt,2023-09-05T12:15:12Z
@vearlyanaayu2917,kgn,2023-09-05T00:46:07Z
@andirachrie7124,haaahya allahgara2 lagu langsung kangen banget diawalaupun berpulang dluan allah swt sayang diatapi hati terjaga selalukalau dikehidupan bersamapasti insyaallah kalo kehidupan kucari betul2 bersamaalfatihah,2023-09-04T15:01:11Z
@kurniadewi4222,yokk jadiin 54jt viewers,2023-09-04T12:49:49Z
@tahiyaturahmawati4207,emang bole keren,2023-09-04T09:53:55Z
@jhulabdichannel5134,yukk nonton,2023-09-03T20:46:25Z
@muhamadfadel7712,suka dengar lagu tiara keren sukses tiara andini karirnya,2023-09-03T11:50:30Z
@rilodgpermana5058,kangen ngonten mama selen selen,2023-09-03T04:28:16Z
@unknownuser01764,hi wlpn sda nd contact mcm dlu ak msi rindu kau kau bg ak lagu ni byebye stranger,2023-09-01T13:55:54Z
@ratnosurampaet9291,setia,2023-09-01T06:57:14Z
@lilikeka9942,lagu kpd nabi muhammad saw,2023-08-31T23:45:19Z
@notebookextra,musik video nya diganti hit 100 juta view,2023-08-31T18:11:09Z
@atmarantisalsabila1208,janji mu kenangan kmu menepati janji ku ku,2023-08-31T13:38:22Z
@keyzakhalishmurad7822,janjiapakah penenang kesalahan kahhaha,2023-08-31T09:03:49Z
@dilamasruroh2187,denger lagu nulis surat calon anakku gugur menunggu garis 2 2022 nulis surat garis 2 alhamdulillah ditunggu usia nya 6 lagu 3 anakku,2023-08-31T04:15:55Z
@094irwandi7,ayok 60 juta streaming moo,2023-08-30T15:08:47Z
@vviolasyahira,kangen banget berdua,2023-08-29T13:30:53Z
@masdwimorin,suka lagu krna video tiktok sahabat nabi,2023-08-29T12:34:29Z
@mpokrija2877,gua ngerasa kalo denger lagu kaya gua nyanyi rasullah saw saking rindu cintanya nabi muhammad saw izin allah bertemu yah ya rasullah ku ya sayyidinna muhammad ku,2023-08-29T09:32:15Z
@UmbiAnksh,53434638 x ditonton 0155 wib 28082023 585 ribu like 89 ribu komen 234 juta subscriber,2023-08-28T18:56:57Z
@denisadaraaa5114,bingung udahan ga gila perempuan but sayang disisi cape,2023-08-28T12:47:51Z
@ekodyyn,see you next time bersamaku part terburuk hidupmu maap 28 ags 2023,2023-08-28T10:16:36Z
@agungdahlan4663,suka lagu soundnya kisah rasulullah sahabat,2023-08-28T07:07:32Z
@tintinsumarni7621,semoga berjodoh aslad tiara cari aslad mampan pekerja keras setuju orang tua aslad teteh nya kawin biar engga isyu2 aslad nya kekampung halaman tiara aslad tanggung hj mah neng tiara rame kawin nya kota bandung udara nya sejuk ciembuluit daerah elitkota kembang,2023-08-28T03:05:43Z
@novifitriani2453,asli lagu lagu fav rilis mylyodraatapi suka karya karya titi salam jember,2023-08-28T00:25:16Z
@zeinzein1236,kangen lihat titi alshad,2023-08-27T12:56:48Z
@N_SyifffArt5920,kangen moment titi ka alshad nge vlog bareng satwa satwa nya ka alshadkaya nya titi ga ketemu cenora,2023-08-27T05:03:02Z
@fuzzkt,izin download lagunya kak,2023-08-27T01:24:27Z
@NeoNoLimitz_,ap janji penenang dri berpura menyayangi endingnya mlh menghianati,2023-08-26T09:59:54Z
@user-kc6kz5sp3e,kangen banget dlu,2023-08-25T14:30:20Z
@ersanadyaputri2432,pejuang ldr semangatttt,2023-08-25T12:34:07Z
@alexanderhaikal9613,cocok video clipnya islami,2023-08-25T08:37:07Z
@fazrinovrizal338,lagu kisah rasulullah saw,2023-08-24T16:05:13Z
@suebwazza2277,janji setia tau kisah nabi muhammad saw sahabat nya,2023-08-23T14:37:37Z
@user-py3dx6xg8f,ya allah,2023-08-23T10:49:19Z
@vearlyanaayu2917,53jt,2023-08-23T07:43:10Z
@DragonBoy-de5wc,buruan nikah,2023-08-23T05:49:43Z
@wiradipoetrafaikar,alshad tiara,2023-08-23T01:27:10Z
@nadeafebie2877,lagu peristiwa alm eril,2023-08-22T16:52:38Z
@anikaangela1927,53032962 x ditonton 2026 wib 21082023 584 ribu like 89 ribu komen 234 juta subscriber,2023-08-22T13:29:02Z
@anikaangela1927,congratulations for 53 m streaming,2023-08-22T13:26:51Z
@vearlyanaayu2917,janji setiaaa,2023-08-22T01:31:08Z
@user-nl2pg1lw9y,pengen suara nya kek titi,2023-08-21T14:30:01Z
@federicopeter2531,otw 53m,2023-08-21T03:46:43Z
@anikaangela1927,percayalah kasih jarak menghapus janji setia menjaga hati,2023-08-21T00:07:44Z
@anikaangela1927,penambahan view ini62962 kemarin 59109 gas moo naikin lgi tuuk buletin 100 rb24 jamnya,2023-08-21T00:07:22Z
@wulan55,lagu emang candu banget,2023-08-20T12:36:41Z
@user-le5rk9bp6t,idola indonesia jungkook bts idola indonesia lya amalia janji setia,2023-08-20T11:38:02Z
@rizkyfidiansyah2768,gas 53 juta up lagu tega moo,2023-08-20T09:20:47Z
@user-hr3bc8hd1f,gila ngebut views janset,2023-08-20T08:38:27Z
@johnads9289,cari krn tik tok pembahasan alquran,2023-08-20T04:29:07Z
@anikaangela1927,penambahan view 59109 gas moo naikin lgi penambahan view nya biar cepet,2023-08-20T00:51:37Z
@mafofficial_14308,lagu enakan banget soundtrack kisah2 nabi coba aja lagu dijadiin soundtrack sinetron series enakan,2023-08-19T15:26:51Z
@Adventure_Hunting_dailylife,janji setia gak setia,2023-08-19T14:05:41Z
@JanjiKenTooth,jarak menghapus janji setia menjaga hati kalimat puitis peduli apapun peduli singkat pertemuan berjanji menjaga hati,2023-08-19T04:02:31Z
@anksh19indahpadawaktunya44,nich bentar lgi 19 ku 44 masya allah,2023-08-18T15:05:56Z
@anksh19indahpadawaktunya44,52759454 x ditonton 2203 wib 18082023 584 ribu like 89 ribu komen 233 juta subscriber,2023-08-18T15:04:33Z
@alvinandfamily480,lagu video klip nya gak gagal siih,2023-08-18T14:38:06Z
@green1501,janji setia gak ya masuk nominasi ami awards lagu layak masuk nominasi ami awards lirik nada aransemennya layak menang ami awards,2023-08-18T10:38:31Z
@b0yr187,klo denger lagu suka inget kisah nabi muhammad saw sahabatnya tt,2023-08-18T01:18:29Z
@anksh19indahpadawaktunya44,taukah dirimu betapa diriku merindukanmu hadirmu percayalah kasih jarak menghapus janji setia menjaga hati,2023-08-17T22:40:13Z
@user-xf5gh6es8k,kangen tiarapengin ketemutiara,2023-08-17T14:03:55Z
@agusriyanto7579,232 part cari,2023-08-17T10:20:53Z
@putrisardy8309,wkt sm alshad yaa duh kl inget gmn gtu dah skrg udh jd tinggal kenangan masing2 gpp jd cerita kl dlu bener bgni sm org pernh vid clipnya,2023-08-17T06:31:23Z
@tyrhy432,lagu universal rasulullah orang tua keluarga dll,2023-08-17T04:35:46Z
@mafofficial_14308,lagu enak banget muncul beranda tiktok kalo ustad2 ceramah,2023-08-17T01:15:34Z
@vearlyanaayu2917,setia,2023-08-16T16:37:38Z
@user-mz1zn5cs7p,this song,2023-08-16T15:04:22Z
@najihulkirom8520,comes here to fix my mood,2023-08-16T12:31:49Z
@federicopeter2531,masi disinii,2023-08-15T17:25:23Z
@Zerrath96,janji setia lirik mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati hoohohho,2023-08-15T11:36:42Z
@musicomforta6673,i could stay awakejust to hear u breathing,2023-08-14T19:12:44Z
@faisalfesal97,asing banget emang gainget kalo nangis larinya kemana,2023-08-14T16:29:25Z
@yogisaputra5374,suka banget sm kalo dengerin lagu inget rasullullah muhammad saw gtu ga sih,2023-08-14T07:26:57Z
@user-ls6fl8wq6p,vibes nya musik ost drama korea banget go internasional titi,2023-08-14T07:17:12Z
@tinatokopedia5109,janji setia suami baitullah aamiin,2023-08-13T22:28:22Z
@alfahrezihadhi1066,vibes tiktok cerita rasulullah rindu nabi muhammad saw,2023-08-13T15:48:01Z
@pumalex0130,rindu rasulullah saw,2023-08-13T15:35:24Z
@niwarmarkonah4615,kesini karna pakai sound kisah nabiku nabi muhammad saw,2023-08-13T10:05:12Z
@NenengWinarti-bx6qh,tahukah dirimu betapa diriku merindu hadirmu sumedang jawa barat minggu 13 agustus 2023 jam 1637 pacarku kesini bicarakan pernikahan,2023-08-13T09:38:14Z
@nunungromi8241,lagu nya bikin gmn gitu tiara andini lagu nya bagussuara nya bikin enak denger bikin nga move on denger lagu nya tiara andini sukses,2023-08-12T15:11:45Z
@user-ge5ru5tm9w,kukira lagu kisahku,2023-08-12T14:02:33Z
@_Gean,bikin drama kyk drama2 korea pas banget pke sound,2023-08-12T10:41:21Z
@green1501,mumpung pake backsound lagu banyakbanyaknya gass 100m streams on spotify yukk,2023-08-12T09:03:45Z
@pinkytawa2695,kalo kuat kuat takdir jalan hidup,2023-08-12T00:36:57Z
@nyanjangcimahi7033,berpisah,2023-08-10T18:50:38Z
@masploncow27,0000 52225,2023-08-10T15:05:37Z
@rina7661,kadang cowoknya udh bener udh setia ceweknya bangsat eh kadang ceweknya udh bener udh cinta mati cowonya bangkeeudah gitu aja sampe kiamat,2023-08-10T13:48:05Z
@hnznsyh,245 lagu seringkali fyp tiktok beserta ceritacerita sejarah islam,2023-08-10T08:11:14Z
@iimdurahman561,lagu kali denger video tiktok nyeritain cerita2 haru rasulullah kyk ngena banget menggambarkan kerinduan rasulullah,2023-08-10T07:45:50Z
@defrijoni9495,mantap,2023-08-10T04:02:03Z
@fahririzqullah7338,dnger lagu tiktok sound kisah rasulullah,2023-08-09T13:07:48Z
@alexsandria1001,denger lagu rindu nabi muhammad saw,2023-08-09T10:39:37Z
@arjunNajah-fs1ek,pengen banget lagu notice masyarakat lagu bagus banget susah move on ayo moo semangat streaming nya yt spotify,2023-08-09T09:20:47Z
@Anonymous.361,denger lagu meinget cerita kisah kisah nabi sahabat,2023-08-09T07:01:13Z
@user-mn5vd1uw5w,candu banget lagunya,2023-08-08T23:48:59Z
@dfwdreamforceworks8635,tuhan biarkan jatuh cinta kali orang kumiliki,2023-08-08T15:05:17Z
@windakurniasari3464,rindu nabi muhammad,2023-08-08T12:06:11Z
@nicolasheva.23,suara tiara soft banget gapernah bosen lagu,2023-08-08T03:07:31Z
@UmbiAnksh,janji setia menjaga hati,2023-08-07T19:50:11Z
@UmbiAnksh,yeesss 52 juta view by janji setia tiara andini gak nyangka view janset melaju secepat ngejar lv merin janset keren bangga mu janji setia,2023-08-07T19:48:40Z
@ellinellin5475,51979859 views smga ntar malam sdh 52jt views aamiin,2023-08-07T12:15:14Z
@RatuPrasasti,kali dgr dn lgsg sukaaa,2023-08-07T00:13:29Z
@edicahyo4160,miss u my dear,2023-08-06T16:03:13Z
@apakah1444,p,2023-08-06T15:28:42Z
@MuhammadIqbal-jz7tu,lagu mantul lirik mantul suara mantul keinget rasulullah karna back sound kisah rasulullah mantuuuul,2023-08-06T15:25:41Z
@pangeranmadrid5320,lagu viral tik tok pakai,2023-08-06T13:57:53Z
@dhi4andini,bungaaa,2023-08-04T14:27:36Z
@ico9005,lagu religi,2023-08-04T12:10:00Z
@alsarroz3502,mampir,2023-08-04T10:06:29Z
@maczcodcom322,dengar lagu kaya lagu nabi muhammad saw,2023-08-04T07:49:42Z
@Hnsenw,you,2023-08-04T03:51:18Z
@rinifibriyanti2079,tau sound lagu janji setia dipake vt2 ttg kisah2 nabi dn ceramah ttg agama islamlove it,2023-08-04T00:47:28Z
@bayubennington9170,klo dnger lagu terngiang2 kisah nabi anak2 nabi muhammad cucu nya sayyidina husein bin ali bin abu thalib tragedi karbala nyesek,2023-08-02T13:49:44Z
@fahridhogo6306,lagu pengantar tidurku secinta ratu naon,2023-08-02T11:38:53Z
@agustianalikhsan2657,please tuan putri,2023-08-02T10:26:13Z
@andizreal2180,lumayan kenceng nih yuk minggu janset masuk top 100 video musik populer,2023-08-02T06:12:59Z
@Weirdthing1,tiktok membawa ku,2023-08-01T15:32:23Z
@anksh19indahpadawaktunya44,penambahan view 81210 kemarin 75396 semangat moo gas buletin 100 ribu,2023-08-01T14:06:47Z
@iqbala1104,sayang mvnya wk,2023-07-31T22:58:16Z
@aguswandi6619,suara tiara tiada duanya,2023-07-31T22:40:05Z
@Jihan__,suka lagunya,2023-07-31T15:46:30Z
@kyraroslan5590,lagu ni dipakai video kisah nabi saw rasulullah terbayang senyuman rasulullah x puas wajah samar nabi mimpi menziarah kubur nabi doakan sahabat,2023-07-31T04:42:25Z
@hanis997,mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati hoohohho,2023-07-31T04:03:39Z
@mit-mit2245,d pungkiri ku miliki,2023-07-31T00:50:51Z
@rizkyfidiansyah2768,gas 52 juta moo up lagu tega,2023-07-30T23:54:43Z
@anksh19indahpadawaktunya44,penambahan view 75396 kemarin 48396 alhamdulillah bangeet efek spotify nya jg 2 tangga dgn ds 172084 merin ketikung janaet,2023-07-30T23:48:42Z
@hexaradjasa917,suaranya so luxury,2023-07-30T16:27:46Z
@irfantv817,lagunya enak banget,2023-07-30T14:17:58Z
@trisiahmartha2338,denger lagu tiara jd keinget crita2 rosulullah,2023-07-30T08:24:00Z
@KhairulIyuk,kesini gara gara tiktok,2023-07-29T23:15:48Z
@andizreal2180,yuk musik video janset masuk top 100 video populer,2023-07-29T14:22:51Z
@dilymuhlisin8068,mampir gara2 fyp tik tok,2023-07-29T12:55:39Z
@Yacen.81_84,asing banget kaya denger lagu janji setia bareng aja,2023-07-29T12:02:32Z
@noviaaida1678,asing banget kaya ga bilang nyaman aja,2023-07-29T09:01:19Z
@anikasatuutkselamanya1977,hujan turun mewakili hati terpa angin gambarkan resahku pelangi menyinari,2023-07-29T01:02:18Z
@Kiki-oo8bx,good,2023-07-28T15:46:07Z
@user-nl2pg1lw9y,kangen maladulu sereng duet lagu ni sm,2023-07-28T15:40:42Z
@musiccover4030,lagunya rame tiktok asing banget,2023-07-28T14:58:31Z
@adityawaruwuadiras7947,ninggalin jejak viewer 51 juta 28 july 2023,2023-07-28T14:23:49Z
@lulukltfhchannel8877,asing banget kayak gatau bolak mampir musik video janset aja,2023-07-28T14:21:11Z
@iiahmadrifai7725,41hi ioi,2023-07-28T13:32:04Z
@iiahmadrifai7725,ua kolong hi,2023-07-28T13:31:09Z
@iiahmadrifai7725,41hi kolong,2023-07-28T13:30:45Z
@iiahmadrifai7725,d,2023-07-28T13:29:39Z
@iiahmadrifai7725,41f k,2023-07-28T13:29:34Z
@andizreal2180,emang seasing,2023-07-28T11:31:20Z
@LeeJaneNahceaH,lagunya tiara bagus,2023-07-28T07:30:08Z
@adsysha3564,28 juli 2023,2023-07-28T03:20:02Z
@namthalita9488,kesini suka karna lagu dipakai jd back sound cerita nabi,2023-07-28T01:53:31Z
@kurowitch9142,lagu bgus banget tpi nggk relate kak tiara sedih banget,2023-07-27T15:50:51Z
@feyyymarbun6515,pas dengar lagunya kali realese aja dihayati liriknya tiba2 pas reff nangis sesegukan merindukanmu abang suamiku hati kangen gabisa peluk jarak kujaga janji setia setahun kepergianmu buka hati cintaku setiaku padamu cintamu padaku cinta matiya cinta maut memisahkan titik jenuhku kupeluk dirimu disana egois disinipun anakmu butuh kau baca uneg2 rinduku komen sanapercayalah rindu sesuai lagu i miss you so much 27723 sukses tiaraa maju cemerlang karir jaga kesehatan ya semoga tuhan maha esa menjagai melindungimu dariku fey from tangerang,2023-07-27T15:18:26Z
@calonkamu5,kesini trend seasing,2023-07-27T14:59:35Z
@user-kb4zg1qz3h,slh vdeo klip terbaik,2023-07-27T14:19:31Z
@user-kb4zg1qz3h,best,2023-07-27T14:14:21Z
@kowgie,asing banget kayak gak nyiumin sikil aja,2023-07-27T07:20:05Z
@doni.hdyt.,banget nemu konten2 agama pake sound janji setia,2023-07-27T04:50:15Z
@shintaal7678,haaaiii titi haaaiii alshad kangen banget berduaa kangen bareng2 kangen kee uwuu an cuman liat yt kalo kangen semogaa berdua jalan terbaik yaaa,2023-07-27T00:41:27Z
@agungp8031,gua menyebutnya lana del rey versi indo suaranya adem,2023-07-26T13:31:43Z
@vanypriya6273,suara nya raisa setuju ngga sih,2023-07-26T13:13:23Z
@muhammadzidane6824,kangen karaokean janji setia bareng temen,2023-07-26T12:10:18Z
@ardimahendra3358,lagu singernya bagus banget sayang model lakinya ngga crop,2023-07-26T10:33:08Z
@daranethasa5644,ak kembaliiiiiii,2023-07-26T07:37:32Z
@Masihdedek,nyanyi lagu lagu anggi nada aja but still oke dgn jlan masing2,2023-07-26T02:05:54Z
@ellinellin5475,alhamdulillah in 51005893 views,2023-07-25T12:35:13Z
@nasiononasiono9463,enak x,2023-07-25T06:07:44Z
@user-kw8dj3oj8h,kirim raisa suarax,2023-07-25T03:56:46Z
@Nurhasanah-bc3rc,gila gua nangis liatnya saking kangennyh,2023-07-25T01:40:53Z
@Nurhasanah-bc3rc,gua masi suka nonton semoga bersatu ya,2023-07-25T01:38:19Z
@maurinsyahputrisyahputri-mw7vq,tahukah dirimu betapa diriku merindu hadirmu disinii,2023-07-24T15:43:49Z
@adityaprananta7576,v,2023-07-24T11:59:24Z
@fakhrizaldhimar6871,suka lagu gara liat video kisah nabi tiktok,2023-07-24T11:57:44Z
@lexuspalen1049,honestly i dont understand any words she spoke but for some reason my heart does,2023-07-24T07:23:01Z
@safriansyahdrasad4982,akui aransmen musik nya juara,2023-07-21T19:16:52Z
@NN-bs5em,baper yaaallah nangis bareng2,2023-07-21T16:57:20Z
@alsarroz3502,otw 51 jta,2023-07-21T08:20:21Z
@anikasatuutkselamanya1977,50631964 x ditonton 0728 wib 20072023 580 ribu like 89 ribu komen 231 juta subscriber,2023-07-20T00:29:03Z
@wagiojamal8043,suara kak tiara bagus banget suka lagunya kak tiara semangat kak tiara,2023-07-19T22:58:17Z
@chandrayudhaswara5323,gue raise,2023-07-19T15:41:08Z
@green1501,ditengah gempuran lagu streamsnya melampaui janji setia spotify gak ketinggalan dengerin lagu emang secandu janji setia,2023-07-19T12:39:09Z
@alsyamikacintaqu6718,menunggu datangnya 19 ku 43 bentar lgi masya allah puji syukur nikmat rahmat karunianya setia janji setia menjaga hati anksh 19 always forever,2023-07-18T16:40:47Z
@februardo1202,suaranya tiara sopan banget merdu kalo didenger beda pokoknya deh asli,2023-07-18T09:24:57Z
@ulfamayamulyasari,ti tau ga lihat langsung bawain lagu nangis tisedih terharu ngelihat titi aslinya cantik suaranya merdulembut ya allah nge fans banget ma ti,2023-07-18T06:55:47Z
@sabitmawar3909,msh udh putus ga si,2023-07-17T23:20:41Z
@kolekdol3693,menikahi sarah olivia santoso taggal 18 september 2024,2023-07-17T14:54:27Z
@ellinaprianti8419,yuk hri in jdi 50500 views bismillah,2023-07-17T01:18:48Z
@RinaBelang-vh5gd,berak dengari lagu inimau mandi makan tidur candu banget,2023-07-16T23:17:04Z
@Halkema,semoga kau slalu sukses bahagia,2023-07-16T18:04:49Z
@rizkadty3290,cerita nabi muhammad saw tiktok make sound asli ngena bngat ampe hati,2023-07-16T15:52:08Z
@ellinellin5475,alhamdulillah 50400555 views,2023-07-16T07:15:06Z
@ellinellin5475,3000 lg 50400views smangat,2023-07-16T06:27:25Z
@ellinellin5475,doaku smga diblan september janset sdh 60jt views aamiin optimis berusaha streaming biar tercapai miin,2023-07-16T06:03:30Z
@titaayasavitha3022,15 juli 23 hadir lagii,2023-07-15T05:30:35Z
@aestheticvibe-sf7ng,bersyukur banget lagu diciptakandan dinyanyikan tititiara andinisetelah didengerin lagu lagu favorit ku masadan lagu mootiaraaemang suka ituse keren ituse deep lagunyalagu slalu puter dimana manakapanpun ituudah kaya mennyatu bngt suka ituui love you jansett,2023-07-15T01:38:39Z
@kimkrisma6140,bagus,2023-07-15T00:06:10Z
@briovanmerlin2408,teknik sgt raisa,2023-07-14T17:20:26Z
@daveenatahir7476,pengen titi alshad bareng lagiterus cepet selesai,2023-07-14T06:51:03Z
@ellinaprianti8419,bismillah in 50200view semngat streaming,2023-07-13T01:15:28Z
@federicopeter2531,231m subscribe tiara andini,2023-07-12T17:01:59Z
@_onlyjt841,congrats 50juta musik video janji setia,2023-07-12T05:43:24Z
@senpaichanel9576,cerita rasulullah,2023-07-12T02:06:52Z
@raesabila,ayo ti kangen nii ayo balikk kangenn semalem jam 2 nangisin kapal couple the bast ayo ga enak nangisin ti yaa ti gua kangen berdua lihat vd gua nangis gua kangen ayo,2023-07-12T01:22:48Z
@windrijayani,50jt,2023-07-12T01:09:58Z
@morinacilla8866,bikin video klip nya deket rumah knp g ketemu ya,2023-07-12T00:51:39Z
@user-vv1dw6mu9d,see you orng,2023-07-11T16:18:24Z
@calonkamu5,tembus 50juta mantap,2023-07-11T04:24:48Z
@krisfiyan7096,11723 50 juta views gas 100 juta,2023-07-11T04:23:30Z
@denitaputriana197,semangat streaming nya guyss,2023-07-11T01:21:10Z
@afif_rikzal,hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari 234,2023-07-10T20:45:48Z
@federicopeter2531,congrats 50m keep streaming,2023-07-10T16:56:29Z
@ellinellin5475,alhamdulillah akhirnyslamat ya mootiara,2023-07-10T15:58:21Z
@Wettyu-mg3uo,2252 viwers 50000043,2023-07-10T15:53:31Z
@enriquegeum1915,happy 50m views moo,2023-07-10T15:52:30Z
@vitprayoga2761,menitmenit 50 juta view,2023-07-10T14:53:00Z
@Ku6u7s1Ks4,jarang mampir udah 50 juta,2023-07-10T13:16:32Z
@ellinellin5475,11k lg otw 50jt maraton semangatny bismillah,2023-07-10T12:04:34Z
@ellinaprianti8419,alhamdulillah 23k lg go to 50jt semangat bismillah,2023-07-10T09:28:39Z
@mootiara.gorontalo,alhamdulillah 25k otw 50 jta,2023-07-10T08:54:17Z
@stella7088,ah doaku sellalu terbaik couple,2023-07-10T00:12:05Z
@adimajasiregar6199,yok jadiin 50jeti sikit mo yukkk gaskennnn,2023-07-09T22:22:03Z
@wh109,besok dah 50juta nih kyaknya jujur gue lbh suka dengerin audionya musik video nya bangganya tiara berkontribusi lagu diterima khalayak luas kalo sentuhan tiara nadanada khas lagu lagu tega,2023-07-09T15:59:54Z
@rizkyfidiansyah2768,gas 50 juta moo up lagu tega,2023-07-09T10:30:49Z
@madonofficial5063,ayo dikit 50juta,2023-07-08T11:34:01Z
@lenyhariyani9451,kak kak tiara lagu janji setia laki lakinya penasaran deh,2023-07-08T07:44:48Z
@odie148,suka lagu suka baca kisah nabi muhammad dikasih sound,2023-07-07T11:32:16Z
@SinthiaSari-sf1rh,suaranya kayak raisa,2023-07-07T11:14:09Z
@green1501,lagu solo titi emang candu didengar janji setia lagu solo titi favorit lagu nadanya megah easy listening eargasm liriknya orang relate gak ldr pasangan orang tua keluarga sahabat,2023-07-06T18:08:25Z
@septianprima563,kalo dnger lagu kisah nabi tiktok,2023-07-06T14:05:07Z
@anikaangela1927,andai ku genggam tanganmu khan rindu didalam hatiku,2023-07-05T13:08:35Z
@Art_chanell,2023 juli 05 dgar lagu,2023-07-05T12:34:29Z
@yayangyuliani-zn5rn,udah gak ngomong ldr inipengennya bareng2,2023-07-05T07:54:33Z
@nisahasibuan18,gas sampek 50m guyss,2023-07-05T05:17:41Z
@adimajasiregar6199,jng lupa vote ya at rcti plus,2023-07-04T22:54:44Z
@ellinellin5475,smga janset menyusul matm aamiin aamiin,2023-07-04T15:10:05Z
@afwanhasan4126,pacaran sm alshad vidio udh pacaran cinlok gegara alshad jd modelnya,2023-07-03T12:38:58Z
@alyashavira8827,50 juta yukminggu,2023-07-03T03:41:46Z
@MartinSesni-fr1qk,lagu kk barang kak alsatahmad kakk,2023-07-03T01:55:46Z
@baitalmakmur9578,yok yok 50jt fwrs,2023-07-02T17:46:02Z
@user-gy2dj9lx2k,sumpah apapun berdua cocok terlepas dr berharap ber 2 bersatu,2023-07-02T15:41:12Z
@M.Novendrahergiansyah,suka lagu tiktok kisah nabi muhammad saw trs lagu kek pas banget,2023-07-02T14:02:51Z
